Ch1 Amplitude,Ch2 Amplitude,Cluster
2928.402,2322.44946,1
2934.4436,2366.25879,1
2963.81226,2200.5354,1
2967.52612,2391.5896,1
2969.42651,2240.06372,1
3002.82324,2360.82568,1
3017.341,2362.649,1
3023.64136,2370.342,1
3026.27173,2360.23169,1
3026.46729,2429.213,1
3031.59082,2296.96021,1
3034.07715,2501.67871,1
3035.05054,2285.913,1
3036.57373,2627.73438,1
3037.233,2335.81934,1
3040.14673,2682.34229,1
3041.89966,2563.89673,1
3052.277,2416.74121,1
3056.60352,2404.18848,1
3059.743,2634.24731,1
3065.32666,2520.159,1
3065.58862,2631.34229,1
3066.4082,2592.84033,1
3070.67651,2475.75439,1
3075.87378,2592.80273,1
3083.18018,2590.599,1
3083.91382,2614.10254,1
3084.307,2516.306,1
3084.49023,2416.14,1
3085.307,2471.092,1
3086.744,2343.60669,1
3086.9436,2434.81641,1
3088.458,2392.386,1
3090.17578,2644.60742,1
3090.48877,2633.654,1
3093.91138,2617.77075,1
3095.55518,2461.58325,1
3096.97754,2643.61353,1
3097.19238,2381.177,1
3098.02417,2524.68042,1
3098.05322,2639.62646,1
3100.90942,2577.9458,1
3100.95825,2737.26074,1
3102.199,2559.86987,1
3104.49561,2653.39966,1
3107.12549,2426.00269,1
3107.94678,2505.281,1
3108.9812,2599.8623,1
3109.03955,2666.26123,1
3110.99023,2727.17041,1
3112.6394,2490.26343,1
3112.65234,2523.30981,1
3112.848,2711.39966,1
3112.98169,2617.05664,1
3114.21362,2376.80835,1
3114.53784,2554.40967,1
3115.81567,2704.15771,1
3116.527,2544.38647,1
3119.185,2611.69531,1
3119.418,2754.63477,1
3119.56885,2424.164,1
3121.42944,2455.85718,1
3122.00513,2467.62866,1
3122.71826,2356.42969,1
3122.875,2418.18921,1
3123.58423,2603.37671,1
3124.7522,2579.322,1
3125.39526,2494.78687,1
3126.091,2638.556,1
3126.34058,2620.84863,1
3126.78418,2560.0083,1
3127.075,2629.698,1
3127.4856,2513.87158,1
3127.529,2563.56519,1
3127.56958,2564.34,1
3128.29248,2511.40747,1
3128.69067,2549.58154,1
3129.2124,2605.82178,1
3129.37646,2620.40649,1
3129.58521,2650.33,1
3131.77417,2532.187,1
3131.87817,2606.10986,1
3133.19287,2560.73535,1
3133.679,2603.535,1
3133.89819,2629.218,1
3134.19727,2767.90845,1
3134.523,2471.96582,1
3134.76367,2726.91138,1
3136.09937,2681.13159,1
3136.67969,2736.32813,1
3137.106,2524.87427,1
3137.82324,2649.21338,1
3137.96021,2586.26733,1
3138.39355,2557.75024,1
3138.54541,2462.25732,1
3138.69067,2534.88281,1
3139.05127,2447.93945,1
3139.05347,2590.43262,1
3139.46362,2630.03174,1
3139.64844,2793.654,1
3139.69556,2552.83765,1
3139.811,2514.96582,1
3140.19165,2620.113,1
3140.79736,2506.64575,1
3141.10278,2524.04248,1
3141.35059,2717.37817,1
3141.3877,2485.60229,1
3141.84668,2617.664,1
3141.94287,2698.38062,1
3142.06641,2598.67969,1
3142.55151,2484.52271,1
3143.35645,2604.273,1
3143.6123,2522.7605,1
3144.30469,2578.06958,1
3144.44019,2436.53735,1
3144.93823,2696.93384,1
3144.993,2495.31274,1
3144.99683,2564.60229,1
3145.009,2740.0332,1
3145.57544,2675.51563,1
3146.05273,2540.16724,1
3147.15527,2600.98657,1
3148.51685,2754.49243,1
3148.60083,2637.08765,1
3149.04517,2629.1167,1
3149.11377,2611.63745,1
3149.49561,2789.30273,1
3149.64063,2533.3418,1
3149.647,2579.274,1
3150.06128,2589.0022,1
3150.34033,2556.744,1
3150.377,2635.54541,1
3150.42432,2632.62817,1
3150.77563,2577.047,1
3151.2478,2558.17163,1
3151.39038,2608.11865,1
3151.45483,2439.51978,1
3151.54541,2683.59668,1
3152.655,2563.59277,1
3152.726,2616.10742,1
3153.08667,2559.01587,1
3153.23267,2631.965,1
3154.87964,2577.77124,1
3155.07324,2593.538,1
3155.24072,2637.43066,1
3155.24854,2469.65942,1
3155.365,2603.50269,1
3155.48047,2390.37915,1
3155.56055,2560.433,1
3155.7085,2634.32886,1
3155.81177,2537.534,1
3155.86182,2661.914,1
3155.912,2453.60767,1
3156.43726,2666.37573,1
3157.03882,2687.58081,1
3157.049,2546.90039,1
3157.45923,2544.25146,1
3158.06128,2605.44238,1
3158.20361,2547.911,1
3158.288,2614.691,1
3158.32056,2568.39453,1
3158.712,2681.90918,1
3159.07861,2780.90381,1
3160.13574,2635.42163,1
3160.17456,2538.57935,1
3160.48828,2699.209,1
3161.056,2624.602,1
3161.53174,2534.49023,1
3161.58032,2598.72534,1
3161.81885,2747.766,1
3161.92725,2645.23438,1
3162.11719,2825.839,1
3162.15552,2552.27783,1
3162.832,2619.85547,1
3163.15,2663.05786,1
3164.18579,2630.98657,1
3164.49878,2470.135,1
3164.52563,2777.73413,1
3164.84937,2750.79736,1
3165.28223,2602.35449,1
3165.79272,2681.36084,1
3166.46167,2530.97437,1
3166.51855,2578.83716,1
3166.587,2698.37451,1
3166.66821,2640.37256,1
3166.81567,2619.14,1
3166.911,2737.328,1
3168.67383,2580.7334,1
3169.22583,2738.75,1
3169.4375,2587.963,1
3169.48438,2657.558,1
3169.67749,2616.3562,1
3169.85767,2523.838,1
3170.04785,2692.66162,1
3170.105,2545.24365,1
3170.385,2600.131,1
3170.39478,2679.19238,1
3170.71436,2561.35547,1
3171.80542,2494.67261,1
3172.513,2495.74829,1
3172.62866,2409.88184,1
3172.64429,2603.53174,1
3173.39136,2517.08,1
3174.02417,2644.2522,1
3174.4353,2661.65771,1
3174.60278,2495.84253,1
3174.7666,2560.93774,1
3174.81934,2622.20581,1
3174.86328,2553.95386,1
3174.90942,2684.59668,1
3175.24927,2558.48535,1
3175.288,2518.50977,1
3175.52979,2650.64648,1
3175.57324,2591.31421,1
3175.797,2623.11157,1
3176.3894,2742.67847,1
3176.4978,2772.21484,1
3176.85962,2767.11353,1
3177.006,2586.04614,1
3177.011,2656.56616,1
3177.402,2471.56665,1
3177.44043,2617.29858,1
3177.55,2536.87646,1
3177.608,2565.214,1
3178.522,2590.28979,1
3178.71069,2549.05542,1
3178.86914,2744.03687,1
3179.292,2625.763,1
3179.8396,2602.01343,1
3180.105,2659.64551,1
3180.466,2606.75415,1
3180.78076,2624.90332,1
3180.84985,2604.465,1
3181.28052,2566.855,1
3181.50781,2583.9563,1
3181.76514,2576.18652,1
3181.89087,2577.36768,1
3182.07178,2644.61182,1
3182.13745,2631.88574,1
3182.69141,2580.06934,1
3182.88867,2415.13477,1
3183.33984,2551.80737,1
3183.901,2699.83252,1
3183.97339,2707.68115,1
3184.11841,2849.01929,1
3184.37061,2631.695,1
3184.91284,2611.208,1
3185.61475,2605.02466,1
3185.62,2697.931,1
3185.79077,2599.10376,1
3186.164,2623.98975,1
3186.213,2630.80615,1
3186.35034,2562.3252,1
3186.38574,2657.09033,1
3186.7627,2575.984,1
3186.99463,2544.35522,1
3187.3894,2588.05786,1
3187.65527,2616.102,1
3187.66,2568.06982,1
3187.78613,2525.43286,1
3187.78979,2579.49756,1
3187.91357,2658.68066,1
3188.14453,2673.447,1
3188.267,2532.98877,1
3188.56445,2510.57422,1
3189.09155,2777.49023,1
3189.11865,2575.058,1
3189.31836,2589.42358,1
3189.35376,2594.27979,1
3189.611,2565.42627,1
3189.62915,2550.366,1
3189.74023,2572.76514,1
3189.97266,2417.90552,1
3190.72949,2769.64746,1
3190.84448,2521.049,1
3191.137,2646.11133,1
3191.14868,2527.177,1
3191.17358,2534.80518,1
3191.20264,2634.97778,1
3191.27441,2570.527,1
3191.30225,2642.39331,1
3191.67749,2603.46265,1
3191.79272,2418.57568,1
3191.8042,2679.18213,1
3192.06543,2593.02979,1
3192.14844,2666.27734,1
3192.1626,2613.38379,1
3192.39063,2640.52515,1
3192.42285,2638.0166,1
3192.72119,2518.85327,1
3192.88574,2634.93,1
3193.27979,2683.598,1
3193.449,2617.00439,1
3193.607,2476.062,1
3193.62476,2609.22949,1
3193.63428,2770.90063,1
3193.82373,2550.34253,1
3193.95068,2538.88867,1
3193.98218,2655.84619,1
3194.02783,2614.99829,1
3194.18579,2636.818,1
3194.592,2639.12036,1
3194.77783,2703.26343,1
3194.895,2492.96875,1
3195.227,2723.37427,1
3195.25073,2624.43262,1
3195.257,2597.4104,1
3195.562,2754.23218,1
3195.57349,2591.022,1
3195.59888,2515.47729,1
3195.77368,2535.78784,1
3195.85352,2734.243,1
3195.88086,2606.894,1
3195.93,2632.40234,1
3195.965,2551.06055,1
3196.28564,2665.74219,1
3196.385,2604.5542,1
3196.43262,2759.63818,1
3196.46753,2539.87329,1
3196.5293,2564.39771,1
3196.702,2518.43945,1
3197.005,2541.19165,1
3197.02271,2670.93945,1
3197.04736,2620.216,1
3197.2583,2656.28442,1
