Ch1 Amplitude,Ch2 Amplitude,Cluster
3005.757,2508.574,1
3014.24121,2729.202,1
3026.57617,2462.28833,1
3043.27222,2615.328,1
3046.88745,2776.7666,1
3054.05444,2641.25513,1
3056.1123,2720.05737,1
3057.17651,2665.65771,1
3061.53,2556.02881,1
3065.84814,2629.05664,1
3066.46313,2676.74048,1
3067.35425,2565.98071,1
3077.999,2497.12036,1
3078.44556,2625.511,1
3081.278,2666.71826,1
3082.387,2755.446,1
3083.16968,2741.26782,1
3084.153,2434.465,1
3086.05444,2705.81348,1
3086.20435,2584.76367,1
3087.83,2720.329,1
3090.081,2668.38916,1
3091.01123,2351.268,1
3092.418,2673.78687,1
3093.88379,2768.58984,1
3094.366,2779.19678,1
3094.67358,2522.07129,1
3097.38184,2632.211,1
3098.03516,2564.75269,1
3098.41235,2538.70142,1
3099.02319,2606.11182,1
3099.82251,2614.62256,1
3101.92017,2825.13257,1
3102.516,2605.92041,1
3103.0874,2654.25732,1
3104.89429,2623.86084,1
3105.0542,2821.74756,1
3105.3125,2606.899,1
3106.19727,2730.99414,1
3106.81177,2625.776,1
3107.37231,2766.19,1
3107.81055,2536.604,1
3108.13232,2813.82764,1
3108.148,2473.32666,1
3108.3728,2744.611,1
3109.2417,2634.90332,1
3109.683,2612.316,1
3110.22144,2844.6,1
3110.473,2577.869,1
3110.498,2747.47778,1
3111.08374,2708.829,1
3112.367,2787.76074,1
3113.21167,2555.81,1
3113.34229,2629.73315,1
3113.40161,2529.80054,1
3114.268,2577.947,1
3114.43677,2638.486,1
3114.52173,2707.38965,1
3115.64526,2654.19727,1
3116.34131,2790.86133,1
3116.95264,2825.866,1
3117.37915,2752.17725,1
3117.57935,2615.43726,1
3118.541,2635.53735,1
3119.0813,2699.001,1
3121.78613,2657.65112,1
3122.22632,2701.16357,1
3122.786,2673.43921,1
3122.92871,2714.7832,1
3124.117,2818.42651,1
3124.181,2677.8584,1
3124.18652,2828.596,1
3124.63477,2784.76172,1
3125.20483,2817.366,1
3125.389,2708.31,1
3126.55273,2652.418,1
3126.58838,2799.5542,1
3127.46143,2993.116,1
3127.631,2702.11841,1
3128.07568,2663.30737,1
3128.5957,2732.83,1
3129.14038,2430.26514,1
3129.67065,2678.073,1
3130.25073,2754.117,1
3130.66577,2706.66064,1
3130.8,2565.291,1
3131.53516,2731.4436,1
3131.88623,2805.91455,1
3131.89185,2595.782,1
3132.207,2664.96,1
3132.31177,2722.56616,1
3132.714,2562.92432,1
3132.89648,2586.19067,1
3132.98755,2643.12061,1
3133.009,2772.48657,1
3133.37744,2756.229,1
3133.89258,2609.85156,1
3134.22729,2860.85645,1
